Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,4.447000,5.399000,4.420000,5.394000,5.394000,3259700
2018-09-05,5.547000,6.000000,4.816000,4.940000,4.940000,2579700
2018-09-06,4.932000,5.000000,4.550000,4.712000,4.712000,855000
2018-09-07,4.714000,5.000000,4.650000,4.896000,4.896000,571900
2018-09-10,4.978000,5.500000,4.930000,5.429000,5.429000,1789900
2018-09-11,5.476000,5.929000,5.320000,5.862000,5.862000,1784200
2018-09-12,5.906000,6.504000,5.650000,6.500000,6.500000,2966500
2018-09-13,6.471000,6.610000,5.320000,5.528000,5.528000,2857200
2018-09-14,5.013000,6.130000,4.900000,5.700000,5.700000,2072500
2018-09-17,5.896000,6.140000,5.700000,5.804000,5.804000,1854000
2018-09-18,6.013000,6.160000,5.850000,5.950000,5.950000,1922900
2018-09-19,6.108000,7.894000,5.966000,6.680000,6.680000,11068100
2018-09-20,6.710000,7.170000,6.304000,6.865000,6.865000,3306100
2018-09-21,6.732000,6.890000,6.320000,6.405000,6.405000,1802200
2018-09-24,6.060000,6.540000,6.060000,6.470000,6.470000,1267100
2018-09-25,6.880000,6.880000,6.110000,6.220000,6.220000,1527100
2018-09-26,6.122000,6.600000,5.693000,5.800000,5.800000,1558200
2018-09-27,5.800000,5.800000,5.250000,5.340000,5.340000,1380300
2018-09-28,5.352000,5.640000,5.160000,5.562000,5.562000,739200
2018-10-01,5.351000,5.538000,5.094000,5.239000,5.239000,1409600
2018-10-02,5.160000,5.230000,4.640000,4.680000,4.680000,1530300
2018-10-03,4.678000,4.975000,4.610000,4.861000,4.861000,864000
2018-10-04,4.900000,5.000000,4.650000,4.890000,4.890000,1101800
2018-10-05,4.950000,5.020000,4.690000,4.900000,4.900000,722200
2018-10-08,4.930000,5.250000,4.915000,5.250000,5.250000,783800
2018-10-09,5.280000,5.280000,5.010000,5.078000,5.078000,610900
2018-10-10,4.950000,5.100000,4.345000,4.412000,4.412000,1953100
2018-10-11,4.448000,4.450000,4.088000,4.150000,4.150000,1277800
2018-10-12,4.340000,4.551000,4.180000,4.551000,4.551000,1181300
2018-10-15,3.990000,4.460000,3.715000,4.369000,4.369000,2407400
2018-10-16,4.639000,4.750000,4.100000,4.230000,4.230000,1598800
2018-10-17,4.250000,4.570000,3.888000,4.460000,4.460000,1365400
2018-10-18,4.400000,4.450000,4.160000,4.160000,4.160000,716000
2018-10-19,4.088000,4.160000,3.720000,3.770000,3.770000,1705400
2018-10-22,3.700000,3.780000,3.090000,3.150000,3.150000,2168400
2018-10-23,2.800000,3.198000,2.680000,3.090000,3.090000,1820500
2018-10-24,3.190000,3.330000,2.840000,2.850000,2.850000,1098300
2018-10-25,2.900000,3.132000,2.850000,3.038000,3.038000,964900
2018-10-26,2.990000,3.040000,2.820000,2.860000,2.860000,817400
2018-10-29,2.845000,2.850000,2.290000,2.380000,2.380000,1659400
2018-10-30,2.260000,2.570000,2.240000,2.400000,2.400000,834000
2018-10-31,2.420000,2.500000,2.260000,2.380000,2.380000,961100
2018-11-01,2.395000,2.420000,2.172000,2.211000,2.211000,1375000
2018-11-02,1.980000,2.950000,1.870000,2.670000,2.670000,3274100
2018-11-05,2.820000,3.720000,2.795000,3.600000,3.600000,3388900
2018-11-06,3.548000,3.792000,3.280000,3.400000,3.400000,3021100
2018-11-07,3.600000,3.628000,3.050000,3.448000,3.448000,2096600
2018-11-08,3.386000,3.480000,3.190000,3.236000,3.236000,683100
2018-11-09,3.073000,3.232000,3.066000,3.100000,3.100000,590000
2018-11-12,3.065000,3.117000,2.750000,2.805000,2.805000,972000
2018-11-13,2.800000,2.837000,2.510000,2.550000,2.550000,797300
2018-11-14,2.450000,2.530000,2.250000,2.450000,2.450000,1223300
2018-11-15,2.480000,2.806000,2.370000,2.704000,2.704000,1126400
2018-11-16,2.715000,2.810000,2.550000,2.572000,2.572000,732900
2018-11-19,2.603000,2.680000,2.368000,2.410000,2.410000,559300
2018-11-20,2.304000,2.570000,2.260000,2.370000,2.370000,671100
